Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
,163.8500,163.8500,163.8500,163.8500,163.8500,2022/12/19 09:36:25,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,163.8500,
,167.1115,167.1115,167.1115,167.1115,167.1115,2022/12/19 09:37:15,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,167.1115,
,164.4205,164.4205,164.4205,164.4205,164.4205,2022/12/19 09:38:05,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,164.4205,
,167.3420,167.3420,167.3420,167.3420,167.3420,2022/12/19 09:38:55,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,167.3420,
,163.5015,163.5015,163.5015,163.5015,163.5015,2022/12/19 09:39:45,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,163.5015,
,163.2010,163.2010,163.2010,163.2010,163.2010,2022/12/19 09:40:35,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,163.2010,
,163.7170,163.7170,163.7170,163.7170,163.7170,2022/12/19 09:41:25,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,163.7170,
,162.9345,162.9345,162.9345,162.9345,162.9345,2022/12/19 09:42:15,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,162.9345,
,161.9595,161.9595,161.9595,161.9595,161.9595,2022/12/19 09:43:05,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,161.9595,
,163.1775,163.1775,163.1775,163.1775,163.1775,2022/12/19 09:43:55,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,163.1775,
,99.9960,99.9960,99.9960,99.9960,99.9960,2022/12/19 09:44:45,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,99.9960,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
