Order Number,Sample ID,P_F1,P_F2,Date,GRAV_BLK,Remarks,end
D9108226,,168.731,168.752,2022/11/05 15:15:42,168.742,,
D9108227,,169.538,169.543,2022/11/05 15:16:18,169.541,,
D9109403,,163.801,163.844,2022/11/10 10:03:01,163.823,,
D9109404,,165.774,165.777,2022/11/10 10:04:14,165.776,,
D9099287,,168.665,168.663,2022/06/03 12:20:05,168.664,,
D9104500,,166.990,167.009,2022/10/22 14:42:55,167.000,,
D9104501,,166.073,166.076,2022/10/22 14:43:52,166.075,,
D9108278,,168.978,168.983,2022/11/05 16:08:14,168.981,,
D9108279,,169.089,169.096,2022/11/05 16:09:09,169.093,,
D9108239,,169.244,169.247,2022/11/05 15:28:10,169.246,,
D9108240,,168.843,168.847,2022/11/05 15:28:47,168.845,,
D9108252,,167.974,167.985,2022/11/05 15:37:23,167.980,,
D9108253,,167.507,167.515,2022/11/05 15:38:00,167.511,,
D9108265,,169.620,169.612,2022/11/05 15:52:43,169.616,,
D9108266,,167.471,167.468,2022/11/05 15:55:21,167.470,,
D9104474,,166.264,166.303,2022/10/22 12:30:23,166.284,,
D9104475,,170.482,170.506,2022/10/22 12:33:01,170.494,,
D9104513,,164.739,164.740,2022/10/22 14:55:30,164.740,,
D9104514,,165.918,165.916,2022/10/22 14:56:51,165.917,,
QC 168,,99.995,99.996,2022/12/05 11:22:24,99.996,,
,,,,,,,
