Order Number,Pe_F1,Date_1,HR,T,Pe_F2,Date,HR,T,GRAV_MON,GRAV_PROM,end
D9104457,163.858,2022/12/17 13:12:50,28.9,20.9,163.842,2022/12/19 09:36:25,33.8,22.7,163.850,0.254,
D9103443,167.126,2022/12/17 13:15:10,28.9,20.9,167.097,2022/12/19 09:37:15,33.8,22.7,167.112,0.176,
D9103441,164.434,2022/12/17 13:17:30,28.9,20.9,164.407,2022/12/19 09:38:05,33.8,22.7,164.421,0.195,
D9103442,167.347,2022/12/17 13:19:50,28.9,20.9,167.337,2022/12/19 09:38:55,33.8,22.7,167.342,0.318,
D9104456,163.508,2022/12/17 13:22:10,28.9,20.9,163.495,2022/12/19 09:39:45,33.8,22.7,163.502,0.214,
D9104459,163.216,2022/12/17 13:24:30,28.9,20.9,163.186,2022/12/19 09:40:35,33.8,22.7,163.201,0.345,
D9104458,163.733,2022/12/17 13:26:50,28.9,20.9,163.701,2022/12/19 09:41:25,33.8,22.7,163.717,0.337,
D9104460,162.919,2022/12/17 13:29:10,28.9,20.9,162.950,2022/12/19 09:42:15,33.8,22.7,162.935,0.303,
D9104461,161.963,2022/12/17 13:31:30,28.9,20.9,161.956,2022/12/19 09:43:05,33.8,22.7,161.960,0.288,
D9103440,163.162,2022/12/17 13:33:50,28.9,20.9,163.193,2022/12/19 09:43:55,33.8,22.7,163.178,0.036,
QC 169,99.996,2022/12/17 13:36:10,30.4,21.2,99.996,2022/12/19 09:44:45,28.7,22.9,99.996,99.996,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
